,Candidate,District,Contribution,PC1,PC2,PC3
0,Martha Roby,Alabama 2,7,0.435586341,2.109349802,0.42808634
1,Paul Cook,California 8,11,-0.742474234,2.790871326,1.277859068
2,Diane Harkey,California 49,11.8,-2.74873275,-1.482763523,0.108760568
3,Devin Nunes,California 22,8.4,-1.79727051,2.449270374,0.793186551
4,Kevin McCarthy,California 23,13.4,-1.038229734,3.095433921,0.56542756
5,Dana Rohrabacher,California 48,3.2,-2.760653935,-1.358114029,1.463110941
6,Neal Dunn,Florida 2,16.8,1.400407394,1.783704691,-1.13772727
7,Matt Gaetz,Florida 1,12.2,0.406804221,1.067297771,1.605936704
8,Ross Spano,Florida 15,0,0.021390949,0.025066655,1.255259536
9,Michael Waltz,Florida 6,5.6,2.32173937,-1.652591142,1.043417541
10,Ted Yoho,Florida 3,6.2,-0.064382439,1.30628516,-0.203672306
11,Randy Hultgren,Illinois 14,-10,-2.879523974,0.197088355,-1.523072115
12,Rod Blum,Iowa 1,-4.1,0.059130929,-0.140646444,-0.805556175
13,Kevin Yoder,Iowa 2,13.2,-0.189612933,0.02832041,-0.705255404
14,Andy Barr,Kentucky 6,-5.8,-0.455941341,1.098933381,-0.786842524
15,Clay Higgins,Louisiana 3,18.1,0.334362829,2.862828044,-0.171861558
16,Bruce Poliquin,Maine 2,-3,1.897317271,-1.286885609,-0.738525835
17,Lena Epstein,Michigan 11,-10.6,-1.710381325,-1.905803835,-0.744994627
18,Tom Emmer,Minnesota 6,10.4,-1.265475628,0.618080301,0.172538649
19,Jim Hagedorn,Minnesota 1,-4.6,0.286104442,-0.526272132,-0.96535791
20,Dave Hughes,Minnesota 7,-16.2,1.815457185,-0.389362599,-0.275910987
21,Jason Lewis,Minnesota 2,-7.6,-2.32618798,-0.439204002,-0.301841336
22,Erik Paulsen,Minnesota 3,-10.4,-3.14205312,-0.75248318,-1.941327931
23,Pete Stauber,Minnesota 8,1.5,1.785213703,-1.729106241,0.43283045
24,Greg Gianforte,Montana At-Large,-6.3,0.422760564,0.478019957,-0.92573981
25,Danny Tarkanian,Nevada 3,-11.1,-1.033213685,-0.758119761,0.599737454
26,Jay Webber,New Jersey 11,-17.7,-3.181450845,-2.785375975,-0.909562156
27,Dan Donovan,New York 11,-9.4,-1.749268602,0.045960653,0.3027066
28,John Faso,New York 19,-7.2,0.107367725,-0.443364674,-0.592613853
29,Peter King,New York 2,3.2,-2.598364648,-1.031313094,2.444490323
30,Tom Reed,New York 23,2.4,0.861319022,-0.180784301,0.283057537
31,Claudia Tenney,New York 22,-4.2,0.652496513,0.78442504,-1.530967439
32,Lee Zeldin,New York 1,-0.9,-1.828667581,-0.836680473,0.108988241
33,Ted Budd,North Carolina 13,0,-0.305619851,0.848138384,0.315783705
34,Mark Harris,North Carolina 9,-7.6,-0.776666634,-0.096132821,0.57316979
35,Troy Balderson,Ohio 12,-2.8,-1.626249772,0.585394071,-2.409892457
36,John Chrin,Pennsylvania 8,-10.2,1.212278139,-1.025296097,-0.191309414
37,Scott Perry,Pennsylvania 10,-3.4,-0.587217049,0.166774808,0.247700181
38,Keith Rothfus,Pennsylvania 17,9.6,-0.570485422,-1.298962317,-0.534448401
39,Lloyd Smucker,Pennsylvania 11,4,0.176712269,0.963350617,-0.751977196
40,Katie Arrington,South Carolina 1,-8.6,-0.564076336,-0.915194414,-0.119332598
41,David Kustoff,Tennessee 8,18.6,0.233257128,1.462055359,-0.075199364
42,Kevin Brady,Texas 8,20.5,-0.950692966,2.316757022,0.863601197
43,Pete Sessions,Texas 32,-11.5,-3.431744112,1.294447475,-0.57917986
44,Dave Brat,Virginia 7,-8,-1.937887316,-0.267477424,0.561915558
45,Denver Riggleman,Virginia 5,0.6,0.83227576,-0.742381366,-0.112867579
46,Cathy McMorris Rodgers,Washington 5,1.6,0.00881975,0.576303135,-0.494960388
47,Carol Miller,West Virginia 3,-10.2,3.303546772,1.284722304,-1.378892443
48,Bryan Steil,Wisconsin 1,7.3,0.178384097,-1.109225604,0.489698885
49,Martha McSally,Arizona,-4.4,1.00584406,-0.432519471,-0.364284141
50,Mike Braun,Indiana,-5.1,1.695978898,-0.189551173,-0.013205947
51,Rick Scott,Florida,-2.8,1.781474098,-1.718941096,1.720511267
52,John James,Michigan,-7.5,1.272240777,-1.022068316,-0.247073914
53,Karin Housley,Minnesota,-23.1,0.344986304,-1.595053425,-0.69738683
54,Roger Wicker,Mississippi,8,1.130102016,1.494698015,0.953844356
55,Josh Hawley,Missouri,-4.2,1.791323618,-0.928933849,0.662014561
56,Matt Rosendale,Montana,-14.5,2.122647828,-0.783809028,-0.625969861
57,Deb Fischer,Nebraska,6.1,0.908217487,0.417684686,0.089191167
58,Dean Heller,Nevada,-6,0.153374427,0.746305295,0.638959315
59,Bob Hugin,New Jersey,-5.2,-0.895845988,-1.785301953,0.031550665
60,Kevin Cramer,North Dakota,-9,1.541843586,0.415222012,-0.806691482
61,Jim Renacci,Ohio,-12.8,1.62954881,-0.736406616,-0.291122167
62,Lou Barletta,Pennsylvania,-15.1,1.369061048,-1.280481943,-0.425770225
63,Marsha Blackburn,Tennessee,-3.2,1.946558143,-0.159820918,0.676834471
64,Ted Cruz,Texas,-2.4,-0.79886883,1.394393301,0.96356648
65,Mitt Romney,Utah,18.7,0.467593088,-1.467591428,3.183842398
66,Evan Jenkins,West Virginia,-25.3,3.540794343,0.295307998,-0.300822112
67,Leah Vukmir,Wisconsin,-12.8,1.261277839,-1.125629272,-0.504409853
68,John Barrasso,Wyoming,12,1.241640796,1.377159217,0.328047412
