Candidate,District,Predicted Result,Endorsed?,Probability,Democratic Vote,Victory Margin,PVI,Contribution,Incumbent?,Trump Alignment,Trump Support in States,Percentage White,Percentage w/ Bachelor's Degree,Percentage Aged 65 or Over,Average Income
Tshibaka,AK,1,1,0.774,,,9,,0,,,69.9,28,12.6,71583
Britt,AL,1,1,0.985,,,15,,0,,,69.3,23.5,19.9,42830
Boozman,AR,1,1,0.992,,,16,,1,,,77.4,21.4,20.6,41262
Masters,AZ,1,1,0.743,,,3,,0,,,62.4,27.6,20.9,50068
Meuser,CA,0,0,0.05,,,-13,,0,,,43.9,31.7,16.8,61933
O'Dea,CO,0,0,0.121,,,-4,,0,,,74,38.3,16.5,61303
Levy,CT,0,1,0.045,,,-7,,0,,,72.8,38,19.7,70048
Rubio,FL,1,1,0.761,,,3,,1,,,59.7,27.3,23.9,47463
Walker,GA,1,1,0.737,,,3,,0,,,58.1,29.1,16.5,49321
McDermott,HI,0,0,0.0259,,,-14,,0,,,36.6,31,20.5,69592
Grassley,IA,1,1,0.823,,,6,,1,,,90.2,27.7,20.6,53712
Crapo,ID,1,1,0.99,,,19,,1,,,86.8,25,19.4,47861
Salvi,IL,0,0,0.151,,,-7,,0,,,66.2,32.8,18.1,57444
Young,IN,1,0,0.956,,,11,,1,,,83.7,24.7,18.8,49446
Moran,KS,1,1,0.888,,,11,,1,,,81.3,31.5,19,52504
Paul,KY,1,1,0.991,,,16,,1,,,88,22.2,19.2,42958
Chaffee,LA,0,0,0.01,,,-14,,0,,,56.2,38.2,17.8,73971
Schmitt,ME,1,1,0.928,,,10,,0,,,83.2,27.5,20,48363
Budd,NC,1,1,0.766,,,3,,0,,,68.1,28.7,19.1,46556
Hoeven,ND,1,1,0.981,,,20,,1,,,90,27.4,18.4,59029
Laxalt,NV,1,1,0.772,,,1,,0,,,57.6,23.1,18.5,51450
Pinion,NY,0,0,0.0686,,,-10,,0,,,59.4,34.5,18.7,58878
Vance,OH,1,1,0.867,,,6,,0,,,83.2,26.6,20.1,49308
Lankford,OK,1,0,0.992,,,20,,1,,,74.8,24.2,19.2,47529
Mullin,OK,1,1,0.992,,,20,,0,,,74.8,24.2,19.2,47529
Perkins,OR,0,0,0.176,,,-6,,0,,,82.5,30.8,20.4,51075
Oz,PA,0,1,0.24,,,2,,0,,,81.1,29,21.2,53234
Scott,SC,1,1,0.921,,,8,,1,,,67.2,26.3,20.3,45238
Thune,SD,1,0,0.971,,,16,,1,,,87.4,27.8,20.3,50979
Lee,UT,1,1,0.898,,,13,,1,,,82.5,31.1,14.5,60922
Malloy,VT,0,0,0.0308,,,-16,,0,,,95.6,34.9,21,54166
Smiley,WA,0,0,0.107,,,-8,,0,,,76.4,33.1,18.2,61366
Johnson,WI,0,1,0.687,,,2,,1,,,86.1,28.4,19.6,52622
