Candidate,State,Result,Trump Endorsed?,Republican Vote,Democratic Vote,Victory Margin,PVI,Contribution,Incumbent?,Trump Alignment,Trump Support in States,Percentage White,Percentage w/ Bachelor's Degree,Percentage Aged 65 or Over,Average Income
Martha McSally,AZ,Lost,1,47.6,50,-2.4,2,-4.4,0,94.9,43,62.4,27.6,20.9,50068
Rick Scott,FL,Won,1,50.1,49.9,0.2,3,-2.8,0,84.1,43,59.7,27.3,23.9,47463
Mike Braun,IN,Won,1,50.9,45,5.9,11,-5.1,0,90.9,48,83.7,24.7,18.8,49446
John James,MI,Lost,1,45.8,52.3,-6.5,1,-7.5,0,,42,79.3,27.4,19.9,49847
Karin Housley,MN,Lost,1,36.2,60.3,-24.1,-1,-23.1,0,,39,85.7,34.3,18.7,61481
Roger Wicker,MS,Won,1,58.5,39.5,19,11,8,1,90.7,56,60.4,21.1,18.9,39680
Josh Hawley,MO,Won,1,51.4,45.6,5.8,10,-4.2,0,86.7,52,83.2,27.5,20,48363
Matt Rosendale,MT,Lost,1,46.8,50.3,-3.5,11,-14.5,0,,51,90.6,29.3,21.4,46328
Deb Fischer,NE,Won,1,57.7,38.6,19.1,13,6.1,1,89.1,49,84.7,29.5,19.2,52686
Dean Heller,NV,Lost,1,45.4,50.4,-5,1,-6,1,91.6,40,57.6,23.1,18.5,51450
Bob Hugin,NJ,Lost,1,42.8,54,-11.2,-6,-5.2,0,,,60,37.4,19,71919
Kevin Cramer,ND,Won,1,55.5,44.5,11,20,-9,0,94.1,,90,27.4,18.4,59029
Jim Renacci,OH,Lost,1,46.6,53.4,-6.8,6,-12.8,0,,48,83.2,26.6,20.1,49308
Lou Barletta,PA,Lost,1,42.6,55.7,-13.1,2,-15.1,0,,42,81.1,29,21.2,53234
Marsha Blackburn,TN,Won,1,54.7,43.9,10.8,14,-3.2,0,88.5,54,78,25.3,19.5,44361
Ted Cruz,TX,Won,1,50.9,48.3,2.6,5,-2.4,1,92.1,41,48.3,27.8,15.6,53035
Mitt Romney,UT,Won,1,62.6,30.9,31.7,13,18.7,0,75,50,82.5,31.1,14.5,60922
Evan Jenkins,WV,Lost,1,46.3,49.6,-3.3,22,-25.3,0,,,94.2,19.2,22.4,41059
Leah Vukmir,WN,Lost,1,44.6,55.4,-10.8,2,-12.8,0,,42,86.1,28.4,19.6,52622
John Barrasso,WY,Won,1,67.1,30.1,37,25,12,1,89.1,,87.2,26.6,18.3,57055
Britt,AL,1,1,0.985,,,15,,0,,,69.3,23.5,19.9,42830
Tshibaka,AK,1,1,0.774,,,9,,0,,,69.9,28,12.6,71583
Masters,AZ,1,1,0.743,,,3,,0,,,62.4,27.6,20.9,50068
Boozman,AR,1,1,0.992,,,16,,1,,,77.4,21.4,20.6,41262
Levy,CT,0,1,0.045,,,-7,,0,,,72.8,38,19.7,70048
Rubio,FL,1,1,0.761,,,3,,1,,,59.7,27.3,23.9,47463
Walker,GA,1,1,0.737,,,3,,0,,,58.1,29.1,16.5,49321
Crapo,ID,1,1,0.99,,,19,,1,,,86.8,25,19.4,47861
Grassley,IA,1,1,0.823,,,6,,1,,,90.2,27.7,20.6,53712
Moran,KS,1,1,0.888,,,11,,1,,,81.3,31.5,19,52504
Paul,KY,1,1,0.991,,,16,,1,,,88,22.2,19.2,42958
Schmitt,ME,1,1,0.928,,,10,,0,,,83.2,27.5,20,48363
Laxalt,NV,1,1,0.772,,,1,,0,,,57.6,23.1,18.5,51450
Budd,NC,1,1,0.766,,,3,,0,,,68.1,28.7,19.1,46556
Hoeven,ND,1,1,0.981,,,20,,1,,,90,27.4,18.4,59029
Vance,OH,1,1,0.867,,,6,,0,,,83.2,26.6,20.1,49308
Mullin,OK,1,1,0.992,,,20,,0,,,74.8,24.2,19.2,47529
Oz,PA,0,1,0.24,,,2,,0,,,81.1,29,21.2,53234
Scott,SC,1,1,0.921,,,8,,1,,,67.2,26.3,20.3,45238
Lee,UT,1,1,0.898,,,13,,1,,,82.5,31.1,14.5,60922
Johnson,WI,0,1,0.687,,,2,,1,,,86.1,28.4,19.6,52622
