Candidate,District,Result,Republican Vote,Democratic Vote,Victory Margin,PVI,Contribution,Incumbent?,Trump Alignment,Trump Support in States,Percentage White,Percentage w/ Bachelor's Degree,Percentage Aged 65 or Over,Average Income
Martha Roby,Alabama 2,1,61.5,38.5,23,16,7,1,93.7,,61,23.6,17,50101
Paul Cook,California 8,1,60,40,20,9,11,1,94.4,,42,17.1,13,56093
Diane Harkey,California 49,0,56.4,43.6,12.8,1,11.8,0,,,58,46.1,15,96591
Devin Nunes,California 22,1,52.7,36.3,16.4,8,8.4,1,96.2,,37,26,13,66141
Kevin McCarthy,California 23,1,63.7,36.3,27.4,14,13.4,1,97.3,,44,21.7,13,61490
Dana Rohrabacher,California 48,0,53.6,46.4,7.2,4,3.2,1,84.2,,54,46.1,18,99328
Neal Dunn,Florida 2,1,67.4,32.6,34.8,18,16.8,1,97.8,,76,24.2,21,51847
Matt Gaetz,Florida 1,1,67.1,32.9,34.2,22,12.2,1,85,,73,28.6,17,60668
Ross Spano,Florida 15,1,53,47,6,6,0,0,89.6,,56,26.6,16,57857
Michael Waltz,Florida 6,1,56.3,43.7,12.6,7,5.6,0,85.6,,72,24.6,25,54317
Ted Yoho,Florida 3,1,57.6,42.4,15.2,9,6.2,1,94.3,,67,29,17,52178
Randy Hultgren,Illinois 14,0,47.5,52.5,-5,5,-10,1,96.8,,77,42.9,14,98762
Rod Blum,Iowa 1,0,45.9,51,-5.1,-1,-4.1,1,92.5,,87,27.7,18,61857
Kevin Yoder,Iowa 2,1,54.8,42.6,12.2,-1,13.2,1,92.6,,84,29.5,17,58326
Andy Barr,Kentucky 6,1,51,47.8,3.2,9,-5.8,1,94.5,,81,33,15,55799
Clay Higgins,Louisiana 3,1,68.5,30.4,38.1,20,18.1,1,96.7,,67,22.4,15,51550
Bruce Poliquin,Maine 2,0,49.5,50.5,-1,2,-3,0,,,93,25.3,21,51585
Lena Epstein,Michigan 11,0,45.2,51.8,-6.6,4,-10.6,0,,,78,48.6,17,88023
Tom Emmer,Minnesota 6,1,61.2,38.8,22.4,12,10.4,1,89.2,,87,31,13,84287
Jim Hagedorn,Minnesota 1,1,50.2,49.8,0.4,5,-4.6,0,94.4,,85,30.2,17,66004
Dave Hughes,Minnesota 7,0,47.9,52.1,-4.2,12,-16.2,0,,,88,22.9,20,59870
Jason Lewis,Minnesota 2,0,47.2,52.8,-5.6,2,-7.6,1,90.3,,80,40.1,14,89327
Erik Paulsen,Minnesota 3,0,44.3,55.7,-11.4,-1,-10.4,1,96.9,,76,50.4,16,96454
Pete Stauber,Minnesota 8,1,50.7,45.2,5.5,4,1.5,0,85.9,,91,24.5,21,60014
Greg Gianforte,Montana At-Large,1,50.9,46.2,4.7,11,-6.3,1,93.3,,86,33.1,19,56539
Danny Tarkanian,Nevada 3,0,42.8,51.9,-9.1,2,-11.1,0,,,54,33.8,17,75965
Jay Webber,New Jersey 11,0,42.1,56.8,-14.7,3,-17.7,0,,,72,56.1,18,119624
Dan Donovan,New York 11,0,46.6,53,-6.4,3,-9.4,1,,,58,36.7,17,78735
John Faso,New York 19,0,46.2,51.4,-5.2,2,-7.2,1,,,83,30.9,20,65877
Peter King,New York 2,1,53.1,46.9,6.2,3,3.2,1,80.7,,60,33.2,15,108089
Tom Reed,New York 23,1,54.2,45.8,8.4,6,2.4,1,87.3,,88,27,19,54138
Claudia Tenney,New York 22,0,50.9,49.1,1.8,6,-4.2,1,96.9,,87,25.8,19,57414
Lee Zeldin,New York 1,1,51.5,47.4,4.1,5,-0.9,1,88.8,,74,37.1,18,101166
Ted Budd,North Carolina 13,1,51.5,45.5,6,6,0,1,91.8,,64,29.8,17,54171
Mark Harris,North Carolina 9,1,49.3,48.9,0.4,8,-7.6,0,,,60,35.3,15,64457
Troy Balderson,Ohio 12,1,51.4,47.2,4.2,7,-2.8,1,100,,84,42.4,16,77048
John Chrin,Pennsylvania 8,0,45.4,54.6,-9.2,1,-10.2,0,,,79,25.2,20,56379
Scott Perry,Pennsylvania 10,1,51.3,48.7,2.6,6,-3.4,1,89.7,,74,32.2,17,66783
Keith Rothfus,Pennsylvania 17,0,56.3,43.7,12.6,3,9.6,1,88.5,,87,42.3,20,70243
Lloyd Smucker,Pennsylvania 11,1,59,41,18,14,4,1,94,,84,27.6,18,70750
Katie Arrington,South Carolina 1,0,50.7,49.3,1.4,10,-8.6,0,,,70,40.8,18,73078
David Kustoff,Tennessee 8,1,67.7,30.1,37.6,19,18.6,1,93,,72,30.1,18,60828
Kevin Brady,Texas 8,1,73.4,24.9,48.5,28,20.5,1,,,63,31.9,14,75741
Pete Sessions,Texas 32,0,45.8,52.3,-6.5,5,-11.5,1,97.9,,48,45.6,12,77710
Dave Brat,Virginia 7,0,48.4,50.4,-2,6,-8,1,88.4,,66,40.3,16,82539
Denver Riggleman,Virginia 5,1,53.3,46.7,6.6,6,0.6,0,91.9,,72,30,20,58557
Cathy McMorris Rodgers,Washington 5,1,54.8,45.2,9.6,8,1.6,1,92.3,,83,30.8,17,58180
Carol Miller,West Virginia 3,1,56.4,43.6,12.8,23,-10.2,0,97.8,,93,17.5,21,40913
Bryan Steil,Wisconsin 1,1,54.6,42.3,12.3,5,7.3,0,87.9,,80,30,17,69400
,,30,,,,,,,,,,,,
