,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
35,John Cox,CA,Governor of California,Governor,Regular,6/5/2018,Advanced,None,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,
144,Ron DeSantis,FL,Governor of Florida,Governor,Regular,8/28/2018,Advanced,None,On the Ballot,56.5,Yes,,Yes,,,,,,,Yes,,,,No,
185,Rick Scott,FL,U.S. Senate Florida,Senator,Regular,8/28/2018,Advanced,None,On the Ballot,88.6,Yes,,Yes,,,,Yes,,Yes,Yes,,,,Yes,
187,Brian Kemp,GA,Governor of Georgia,Governor,Regular,5/22/2018,Advanced,Advanced,On the Ballot,25.55,Yes,,Yes,,,No,No,,,,,,,,
333,"William Duncan ""Bill"" Schuette",MI,Governor of Michigan,Governor,Regular,8/7/2018,Advanced,None,On the Ballot,50.7,Yes,,Yes,,,,Yes,No,,,,,,Yes,
343,John James,MI,U.S. Senate Michigan,Senator,Regular,8/7/2018,Advanced,None,On the Ballot,54.7,Yes,,Yes,,,,Yes,Yes,,,,,,Yes,
358,Pete Stauber,MN,U.S. House Minnesota District 8,Representative,Regular,8/14/2018,Advanced,None,On the Ballot,89.7,Yes,Yes,Yes,,,,,,,Yes,,,,,
374,Josh Hawley,MO,U.S. Senate Missouri,Senator,Regular,8/7/2018,Advanced,None,On the Ballot,58.6,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,
403,Kevin Cramer,ND,U.S. Senate North Dakota,Senator,Regular,6/12/2018,Advanced,None,On the Ballot,87.73,Yes,,Yes,,,,Yes,,,,,,,,
444,Adam Laxalt,NV,Governor of Nevada,Governor,Regular,6/12/2018,Advanced,None,On the Ballot,71.49,Yes,,Yes,,,Yes,,,,Yes,,,,,
454,Danny Tarkanian,NV,U.S. House Nevada District 3,Representative,Regular,6/12/2018,Advanced,None,On the Ballot,44.13,Yes,,Yes,Yes,,No,Yes,,,,,,,,
515,Jim Renacci,OH,U.S. Senate Ohio,Senator,Regular,5/8/2018,Advanced,None,On the Ballot,47.34,Yes,,Yes,,,Yes,Yes,,,Yes,,No,,,
633,Marsha Blackburn,TN,U.S. Senate Tennessee,Senator,Regular,8/2/2018,Advanced,None,On the Ballot,84.5,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,
702,Mitt Romney,UT,U.S. Senate Utah,Senator,Regular,6/26/2018,Advanced,None,On the Ballot,71.27,Yes,,Yes,,,,,,,,,,,,
748,Patrick Morrisey,WV,U.S. Senate West Virginia,Senator,Regular,5/8/2018,Advanced,None,On the Ballot,34.9,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,No,,
749,Evan Jenkins,WV,U.S. Senate West Virginia,Senator,Regular,5/8/2018,Lost,None,None,29.21,No,,Yes,No,No,,,,,No,,No,Yes,,
772,Foster Friess,WY,Governor of Wyoming,Governor,Regular,8/21/2018,Lost,None,None,25.6,No,,Yes,,,,Yes,,,,,,,,
