,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Rep Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,No Labels Support?
36,Peter Yuan Liu,CA,Governor of California,Governor,Regular,6/5/2018,Lost,None,None,1.08,No,,No,,,,No,,,,,,,,
37,Robert Newman,CA,Governor of California,Governor,Regular,6/5/2018,Lost,None,None,1.77,No,,No,,,,No,,,,,,,,
38,Travis Allen,CA,Governor of California,Governor,Regular,6/5/2018,Lost,None,None,26.15,No,,No,,,,No,,,,,,,,
39,Yvonne Girard,CA,Governor of California,Governor,Regular,6/5/2018,Lost,None,None,0.85,No,,No,,,,No,,,,,,,,
145,Don Baldauf,FL,Governor of Florida,Governor,Regular,8/28/2018,Lost,None,None,0.8,No,,No,,,,No,,,No,,,,No,
146,Bob White,FL,Governor of Florida,Governor,Regular,8/28/2018,Lost,None,None,2,No,,No,,,,No,,,No,,,,No,
147,Adam Putnam,FL,Governor of Florida,Governor,Regular,8/28/2018,Lost,None,None,36.6,No,,No,,,,,,,No,,,,Yes,
148,Timothy Devine,FL,Governor of Florida,Governor,Regular,8/28/2018,Lost,None,None,1.3,No,,No,,,,No,,,No,,,,No,
149,Bob Langford,FL,Governor of Florida,Governor,Regular,8/28/2018,Lost,None,None,1.2,No,,No,,,,No,,,No,,,,No,
150,John Joseph Mercadante,FL,Governor of Florida,Governor,Regular,8/28/2018,Lost,None,None,0.7,No,,No,,,,No,,,No,,,,No,
186,Roque De La Fuente,FL,U.S. Senate Florida,Senator,Regular,8/28/2018,Lost,None,None,11.4,No,,No,,,,No,,No,No,,,,No,
188,Casey Cagle,GA,Governor of Georgia,Governor,Regular,5/22/2018,Advanced,Lost,None,39.01,No,,No,,,Yes,No,,,,,,,,
189,Hunter Hill,GA,Governor of Georgia,Governor,Regular,5/22/2018,Lost,None,None,18.35,No,,No,,,No,Yes,,,,,,,,
190,Michael Williams,GA,Governor of Georgia,Governor,Regular,5/22/2018,Lost,None,None,4.88,No,,No,,,No,No,,,,,,,,
191,Clay Tippins,GA,Governor of Georgia,Governor,Regular,5/22/2018,Lost,None,None,12.21,No,,No,,,No,No,,,,,,,,
192,Eddie Hayes,GA,Governor of Georgia,Governor,Regular,5/22/2018,Lost,None,None,0,No,,No,,,No,No,,,,,,,,
330,Jim Hines,MI,Governor of Michigan,Governor,Regular,8/7/2018,Lost,None,None,11,No,,No,,,,Yes,No,,,,,,No,
331,Brian Calley,MI,Governor of Michigan,Governor,Regular,8/7/2018,Lost,None,None,25.2,No,,No,,,,Yes,No,,,,,,No,
332,Patrick Colbeck,MI,Governor of Michigan,Governor,Regular,8/7/2018,Lost,None,None,13.1,No,,No,,,,Yes,No,,,,,,No,
344,Sandy Pensler,MI,U.S. Senate Michigan,Senator,Regular,8/7/2018,Lost,None,None,45.3,No,,No,,,,No,No,,,,,,No,
359,Harry Welty,MN,U.S. House Minnesota District 8,Representative,Regular,8/14/2018,Lost,None,None,10.3,No,No,No,,,,,,,No,,,,,
373,Austin Petersen,MO,U.S. Senate Missouri,Senator,Regular,8/7/2018,Lost,None,None,8.3,No,,No,No,No,,No,,No,No,,,,,
375,Tony Monetti,MO,U.S. Senate Missouri,Senator,Regular,8/7/2018,Lost,None,None,9.8,No,,No,No,No,,No,,No,No,,,,,
376,Courtland Sykes,MO,U.S. Senate Missouri,Senator,Regular,8/7/2018,Lost,None,None,2.1,No,,No,No,No,,No,,No,No,,,,,
377,Brian Hagg,MO,U.S. Senate Missouri,Senator,Regular,8/7/2018,Lost,None,None,1,No,,No,No,No,,No,,No,No,,,,,
378,Ken Patterson,MO,U.S. Senate Missouri,Senator,Regular,8/7/2018,Lost,None,None,2.9,No,,No,No,No,,No,,No,No,,,,,
